StartTime_us,PulseWidth_us,Bit
-597.7237990000001,1.1160000000000991,1
-568.9177990000001,1.1059999999999945,1
-566.7157990000001,1.1180000000000518,1
-564.497799,1.1159999999999854,1
-562.2877990000001,1.11200000000008,1
-560.073799,1.1140000000000327,1
-557.861799,1.1140000000000327,1
-555.647799,1.1180000000000518,1
-535.707799,1.1180000000000518,1
-26.5637986,1.1099999999999959,1
2.21420138,1.1099999999999999,1
4.42420138,1.1159999999999997,1
6.6502013799999995,1.1140000000000008,1
8.86420138,1.1180000000000003,1
11.0902014,1.1099999999999994,1
13.300201399999999,1.1160000000000014,1
15.5202014,1.1160000000000014,1
35.4422014,1.1119999999999948,1
540.212201,1.1119999999999663,1
569.070201,1.1140000000000327,1
571.2842009999999,1.1140000000000327,1
573.510201,1.1100000000000136,1
575.726201,1.1140000000000327,1
577.950201,1.113999999999919,1
580.162201,1.1159999999999854,1
582.384201,1.1159999999999854,1
602.326201,1.1140000000000327,1
